quiet_track_0,active_track_0,jailed_track_0,quiet_track_1,active_track_1,jailed_track_1,quiet_track_2,active_track_2,jailed_track_2,quiet_track_3,active_track_3,jailed_track_3,quiet_track_4,active_track_4,jailed_track_4
1101,0,19,1109,0,11,1102,0,18,1104,0,16,1097,0,23
1098,0,22,1108,0,12,1102,0,18,1103,0,17,1095,0,25
1099,0,21,1108,0,12,1102,0,18,1105,0,15,1097,0,23
1097,0,23,1108,0,12,1101,0,19,1104,0,16,1096,0,24
1097,0,23,1108,0,12,1104,0,16,1104,0,16,1096,0,24
1100,0,20,1110,0,10,1101,0,19,1103,0,17,1095,0,25
1099,0,21,1109,0,11,1103,0,17,1105,0,15,1096,0,24
1098,0,22,1108,0,12,1102,0,18,1103,0,17,1098,0,22
1099,0,21,1109,0,11,1101,0,19,1105,0,15,1096,0,24
1098,0,22,1108,0,12,1104,0,16,1105,0,15,1096,0,24
1098,0,22,1109,0,11,1101,0,19,1103,0,17,1097,0,23
1099,0,21,1109,0,11,1102,0,18,1103,0,17,1097,0,23
1101,0,19,1110,0,10,1103,0,17,1104,0,16,1095,0,25
1100,0,20,1109,0,11,1102,0,18,1104,0,16,1097,0,23
1102,0,18,1109,0,11,1103,0,17,1106,0,14,1096,0,24
1100,0,20,1109,0,11,1101,0,19,1104,0,16,1095,0,25
1100,0,20,1109,0,11,1103,0,17,1104,0,16,1096,0,24
1100,0,20,1108,0,12,1102,0,18,1105,0,15,1095,0,25
1099,0,21,1108,0,12,1102,0,18,1104,0,16,1098,0,22
1101,0,19,1110,0,10,1102,0,18,1105,0,15,997,51,72
1101,0,19,1108,0,12,1102,0,18,1103,0,17,746,240,134
1093,0,27,1108,0,12,1101,0,19,1104,0,16,634,297,189
1094,0,26,1108,0,12,1102,0,18,1104,0,16,632,242,246
1094,0,26,1109,0,11,1103,0,17,1103,0,17,639,185,296
1095,0,25,1108,0,12,1103,0,17,1104,0,16,639,133,348
1094,0,26,1109,0,11,1102,0,18,1105,0,15,645,75,400
1094,0,26,1109,0,11,1103,0,17,1104,0,16,687,8,425
1094,0,26,1109,0,11,1103,0,17,1104,0,16,706,0,414
1097,0,23,1108,0,12,1103,0,17,1103,0,17,725,0,395
1095,0,25,1110,0,10,1106,0,14,1103,0,17,739,0,381
1094,0,26,1109,0,11,1104,0,16,1103,0,17,757,0,363
1097,0,23,1109,0,11,1101,0,19,1104,0,16,768,0,352
1098,0,22,1109,0,11,1101,0,19,1103,0,17,787,0,333
1098,0,22,1109,0,11,1102,0,18,1103,0,17,814,0,306
1098,0,22,1109,0,11,1102,0,18,1103,0,17,839,0,281
1101,0,19,1109,0,11,1103,0,17,1104,0,16,846,0,274
1100,0,20,1112,0,8,1102,0,18,1105,0,15,863,0,257
1098,0,22,1109,0,11,1101,0,19,1105,0,15,873,0,247
1101,0,19,1108,0,12,1103,0,17,1104,0,16,884,0,236
1101,0,19,1108,0,12,1101,0,19,1103,0,17,901,0,219
1100,0,20,1108,0,12,1101,0,19,1104,0,16,913,0,207
1101,0,19,1109,0,11,1101,0,19,1103,0,17,929,0,191
1102,0,18,1109,0,11,1104,0,16,1104,0,16,945,0,175
1101,0,19,1108,0,12,1104,0,16,1105,0,15,957,0,163
1099,0,21,1108,0,12,1104,0,16,1105,0,15,973,0,147
1101,0,19,1109,0,11,1102,0,18,1104,0,16,988,0,132
1100,0,20,1110,0,10,1103,0,17,1105,0,15,999,0,121
1100,0,20,1108,0,12,1101,0,19,1103,0,17,1016,0,104
1099,0,21,1108,0,12,1102,0,18,1104,0,16,1030,0,90
1100,0,20,1109,0,11,1102,0,18,1103,0,17,1044,0,76
1099,0,21,1109,0,11,1102,0,18,1105,0,15,1066,0,54
1103,0,17,1108,0,12,1103,0,17,1103,0,17,1073,0,47
1100,0,20,1108,0,12,1101,0,19,1104,0,16,1083,0,37
1100,0,20,1109,0,11,1103,0,17,1103,0,17,1087,0,33
1020,38,62,1108,0,12,1104,0,16,1105,0,15,1094,0,26
747,248,125,1108,0,12,1102,0,18,1103,0,17,1098,0,22
616,325,179,1108,0,12,1104,0,16,1102,0,18,1092,0,28
611,271,238,1108,0,12,1102,0,18,1104,0,16,1094,0,26
614,212,294,1108,0,12,1102,0,18,1102,0,18,1094,0,26
614,156,350,1108,0,12,1104,0,16,1103,0,17,1092,0,28
620,96,404,1112,0,8,1102,0,18,1102,0,18,1093,0,27
645,26,449,1108,0,12,1104,0,16,1103,0,17,1095,0,25
683,0,437,1110,0,10,1102,0,18,1107,0,13,1095,0,25
702,0,418,1109,0,11,1019,41,60,1105,0,15,1096,0,24
716,0,404,1108,0,12,732,267,121,1103,0,17,1095,0,25
738,0,382,1110,0,10,638,304,178,1103,0,17,1096,0,24
756,1,363,1109,0,11,635,247,238,1103,0,17,1095,0,25
775,0,345,1108,0,12,636,187,297,1105,0,15,1099,0,21
787,0,333,1108,0,12,642,128,350,1103,0,17,1097,0,23
816,0,304,1109,0,11,661,65,394,1103,0,17,1096,0,24
828,0,292,1108,0,12,694,5,421,1102,0,18,1095,0,25
844,0,276,1108,0,12,724,0,396,1051,19,50,1095,0,25
853,1,266,1109,0,11,742,0,378,942,67,111,1100,0,20
871,0,249,1090,3,27,762,0,358,684,264,172,1097,0,23
888,0,232,1033,23,64,777,0,343,631,260,229,1097,0,23
899,0,221,1011,7,102,794,0,326,630,203,287,1097,0,23
915,0,205,981,12,127,804,0,316,635,145,340,1095,0,25
931,0,189,852,96,172,818,0,302,659,74,387,1096,0,24
945,0,175,650,245,225,830,0,290,682,16,422,1097,0,23
965,0,155,620,217,283,849,0,271,715,0,405,1096,0,24
