quiet_0,active_0,jailed_0,quiet_1,active_1,jailed_1,quiet_2,active_2,jailed_2,quiet_3,active_3,jailed_3,quiet_4,active_4,jailed_4
782,0,338,1099,0,21,1097,0,23,1105,0,15,1102,0,18
796,0,324,1099,0,21,1097,0,23,1106,0,14,1104,0,16
808,0,312,1100,0,20,1096,0,24,1107,0,13,1102,0,18
825,0,295,1099,0,21,1098,0,22,1105,0,15,1102,0,18
837,0,283,1100,0,20,1097,0,23,1105,0,15,1102,0,18
849,0,271,1100,0,20,1096,0,24,1106,0,14,1102,0,18
861,0,259,1099,0,21,1098,0,22,1106,0,14,1102,0,18
874,0,246,1100,0,20,1096,0,24,1105,0,15,1101,0,19
892,0,228,1100,0,20,1097,0,23,1105,0,15,1101,0,19
906,0,214,1101,0,19,1095,0,25,1105,0,15,1102,0,18
922,0,198,1100,0,20,1096,0,24,1107,0,13,1102,0,18
936,0,184,1099,0,21,1097,0,23,1106,0,14,1102,0,18
950,0,170,1100,0,20,1096,0,24,1105,0,15,1102,0,18
967,0,153,1102,0,18,1096,0,24,1107,0,13,1101,0,19
993,0,127,1099,0,21,1095,0,25,1105,0,15,1103,0,17
1016,0,104,1100,0,20,1095,0,25,1106,0,14,1103,0,17
1029,0,91,1101,0,19,1095,0,25,1109,0,11,1101,0,19
1040,0,80,1102,0,18,1098,0,22,1105,0,15,1103,0,17
1065,0,55,1101,0,19,1095,0,25,1105,0,15,1101,0,19
1073,0,47,1099,0,21,1073,6,41,1105,0,15,1103,0,17
1081,0,39,1099,0,21,1077,0,43,1105,0,15,1103,0,17
1084,0,36,1100,0,20,1080,0,40,1107,0,13,1103,0,17
1093,0,27,1099,0,21,1080,0,40,1106,0,14,1103,0,17
1094,0,26,1100,0,20,1080,0,40,1106,0,14,1101,0,19
1096,0,24,1100,0,20,1078,0,42,1105,0,15,1102,0,18
1097,0,23,1101,0,19,1081,0,39,1105,0,15,1102,0,18
1098,0,22,1101,0,19,1083,0,37,1106,0,14,1101,0,19
1099,0,21,1101,0,19,1082,0,38,1106,0,14,1104,0,16
1099,0,21,1100,0,20,1082,0,38,1106,0,14,1101,0,19
1099,0,21,1103,0,17,1081,0,39,1107,0,13,1103,0,17
1043,22,55,1100,0,20,1083,0,37,1107,0,13,1101,0,19
879,126,115,1099,0,21,1086,0,34,1105,0,15,1101,0,19
640,305,175,1100,0,20,1085,0,35,1106,0,14,1101,0,19
640,247,233,1100,0,20,1085,0,35,1106,0,14,1105,0,15
646,189,285,1099,0,21,1086,0,34,1106,0,14,1101,0,19
644,137,339,1099,0,21,1088,0,32,1106,0,14,1101,0,19
649,78,393,1099,0,21,1087,0,33,1106,0,14,1104,0,16
677,19,424,1102,0,18,1087,0,33,1105,0,15,1101,0,19
704,0,416,1102,0,18,1088,0,32,1107,0,13,1102,0,18
717,0,403,1100,0,20,1090,0,30,1105,0,15,1102,0,18
739,0,381,1100,0,20,1090,0,30,1105,0,15,1103,0,17
756,0,364,1099,0,21,1090,0,30,1108,0,12,1102,0,18
767,0,353,1099,0,21,1092,0,28,1106,0,14,1101,0,19
780,0,340,1101,0,19,1091,0,29,1107,0,13,1106,0,14
793,0,327,1100,0,20,1091,0,29,1106,0,14,1104,0,16
804,0,316,1099,0,21,1094,0,26,1106,0,14,1101,0,19
821,0,299,1100,0,20,1096,0,24,1105,0,15,1102,0,18
841,0,279,1100,0,20,1094,0,26,1105,0,15,1103,0,17
856,0,264,1101,0,19,1095,0,25,1105,0,15,1104,0,16
870,0,250,1100,0,20,1095,0,25,1106,0,14,1101,0,19
884,0,236,1099,0,21,1096,0,24,1106,0,14,1103,0,17
897,0,223,1099,0,21,1097,0,23,1105,0,15,1102,0,18
908,0,212,1101,0,19,1095,0,25,1106,0,14,1101,0,19
921,0,199,1101,0,19,1096,0,24,1106,0,14,1101,0,19
939,0,181,1100,0,20,1095,0,25,1108,0,12,1101,0,19
950,1,169,1100,0,20,1097,0,23,1107,0,13,1103,0,17
970,0,150,1099,0,21,1098,0,22,1105,0,15,1102,0,18
988,0,132,1100,0,20,1085,0,35,1106,0,14,1103,0,17
1006,0,114,1104,0,16,1087,0,33,1106,0,14,1101,0,19
1020,0,100,1101,0,19,1089,0,31,1106,0,14,1102,0,18
1037,0,83,1102,0,18,1088,0,32,1105,0,15,1101,0,19
1054,0,66,1099,0,21,1091,0,29,1105,0,15,1102,0,18
1062,0,58,1100,0,20,1087,0,33,1105,0,15,1102,0,18
1075,0,45,1100,0,20,1089,0,31,1105,0,15,1105,0,15
1084,0,36,1099,0,21,1090,0,30,1105,0,15,1104,0,16
1092,0,28,1101,0,19,1089,0,31,1106,0,14,1101,0,19
1096,0,24,1099,0,21,1090,0,30,1101,0,19,1102,0,18
1098,0,22,1099,0,21,1089,0,31,1101,0,19,1101,0,19
1099,0,21,1099,0,21,1088,0,32,1103,0,17,1101,0,19
1098,0,22,1102,0,18,1088,0,32,1102,0,18,1105,0,15
1097,0,23,1099,0,21,1090,0,30,1104,0,16,1104,0,16
1098,0,22,1101,0,19,1090,0,30,1102,0,18,1102,0,18
1097,0,23,1099,0,21,1090,0,30,1103,0,17,1102,0,18
1100,0,20,1102,0,18,1092,0,28,1103,0,17,1102,0,18
1098,0,22,1102,0,18,1092,0,28,1104,0,16,1101,0,19
1098,0,22,1099,0,21,1091,0,29,1105,0,15,1104,0,16
1099,0,21,1103,0,17,1092,0,28,1100,0,20,1092,3,25
